County,Beds
Anchorage,979.0
Bethel,34.0
Dillingham,16.0
Fairbanks North Star,145.0
Juneau,45.0
Kenai Peninsula,76.0
Ketchikan Gateway,25.0
Kodiak Island,24.0
Matanuska-Susitna,74.0
Nome,18.0
North Slope,20.0
Northwest Arctic,17.0
Petersburg,12.0
Sitka,25.0
Valdez-Cordova,24.0
Wrangell,8.0
Autauga,55.0
Baldwin,362.0
Barbour,30.0
Bibb,25.0
Blount,25.0
Bullock,30.0
Butler,44.0
Calhoun,413.0
Chambers,0.0
Cherokee,45.0
Chilton,26.0
Choctaw,25.0
Clarke,56.0
Clay,46.0
Coffee,99.0
Colbert,300.0
Conecuh,44.0
Covington,128.0
Crenshaw,57.0
Cullman,185.0
Dale,77.0
Dallas,109.0
DeKalb,97.0
Elmore,70.0
Escambia,95.0
Etowah,590.0
Fayette,45.0
Franklin,74.0
Geneva,73.0
Greene,20.0
Hale,28.0
Houston,769.0
Jackson,92.0
Jefferson,3779.0
Lauderdale,233.0
Lawrence,43.0
Lee,477.0
Limestone,97.0
Macon,143.0
Madison,1240.0
Marengo,37.0
Marion,97.0
Marshall,150.0
Mobile,1490.0
Monroe,49.0
Montgomery,1018.0
Morgan,200.0
Pike,97.0
Randolph,15.0
Shelby,246.0
St. Clair,40.0
Sumter,33.0
Talladega,207.0
Tallapoosa,80.0
Tuscaloosa,777.0
Walker,207.0
Washington,15.0
Wilcox,21.0
Winston,49.0
Arkansas,74.0
Ashley,25.0
Baxter,170.0
Benton,311.0
Boone,120.0
Bradley,25.0
Carroll,40.0
Chicot,35.0
Clark,25.0
Clay,25.0
Cleburne,25.0
Columbia,30.0
Conway,25.0
Craighead,553.0
Crawford,35.0
Crittenden,63.0
Cross,15.0
Dallas,22.0
Desha,50.0
Drew,49.0
Faulkner,355.0
Franklin,25.0
Fulton,25.0
Garland,423.0
Greene,114.0
Hempstead,67.0
Hot Spring,64.0
Howard,20.0
Independence,184.0
Izard,25.0
Jefferson,271.0
Johnson,57.0
